scheme_name,link,authority,source,description,main_category,gender,caste_category,income_group,age_group,sector,benefit_type,occupation,disability_status,marital_family_status,raw_tag_1,raw_tag_2,raw_tag_3,raw_tag_4,raw_tag_5,raw_tag_6,raw_tag_7,raw_tag_8,raw_tag_9,raw_tag_10,raw_tag_11,raw_tag_12,raw_tag_13,raw_tag_14,raw_tag_15
National Family Benefit Scheme- Uttarakhand,https://www.myscheme.gov.in/schemes/nfbs-bf,Uttarakhand,myscheme,"The scheme aims to provide financial assistance of ₹20,000/- to Below Poverty Line (BPL) families upon the death of the primary breadwinner (main earning member of the family) to help them cope with immediate financial hardships.",Other / Uncategorized,All,All / Not Specified,BPL / EWS / Low Income,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,BPL,Breadwinner,Death,Financial Assistance,BPL / EWS / Low Income,Financial Assistance / Grant,Cope,Member Family,Main Earning,Family Help,,,,,
National Fellowship & Scholarship For Higher Education Of Scheduled Tribe (ST) Students,https://www.myscheme.gov.in/schemes/nfandshests,,india_only,"It is a Central Sector Scheme, fully funded by Ministry of Tribal Affairs to grant scholarship to meritorious Scheduled Tribe (ST) students for pursuing higher education in India.",Education,All,ST,Not Specified,All Ages,Education,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Financial Assistance,Fellowship,Scholarship,Scheduled Tribe,Education,ST,Financial Assistance / Grant,Meritorious Scheduled,Fully Funded,Central Sector,,,,,
National Fellowship For OBC Students,https://www.myscheme.gov.in/schemes/nfos,Ministry of Education,myscheme,"""National Fellowship for OBC Students"" was launched by the University Grants Commission (UGC) during the financial year 2014-15 to increase the opportunities for the students of Other Backward Classes (OBCs) to pursue higher education leading to acquiring degrees such as M.Phil. and Ph.D.",Education,All,OBC,Not Specified,All Ages,Education,Scholarship,Not Specified,Not Specified,Not Specified,Fellowship,OBC,Education,Scholarship,Opportunities Students,Commission Ugc,Phil,Acquiring,Leading,Students Backward,,,,,
National Fellowship for Students with Disabilities,https://www.myscheme.gov.in/schemes/sn2408,Ministry of Social Justice and Empowerment,myscheme,"A Scheme ""National Fellowship For Students With Disabilities"" was initiated by the Department of Empowerment of Persons with Disabilities under the ""Ministry of Social Justice and Empowerment"".",Education,All,All / Not Specified,Not Specified,All Ages,Education,Scholarship,Not Specified,Not Specified,Not Specified,Education,Fellowship,Learning,Scholarship,Disabilities,Empowerment,Initiated,Social Justice,National,Persons,,,,,
National Food Security Mission NFSM,https://www.myscheme.gov.in/schemes/nfsmcss,Ministry of Agriculture and Farmers Welfare,myscheme,"National Food Security Mission was launched in 2007-08 to increase the production of rice, wheat and pulses. Later, coarse cereals, nutri cereals, commercial crops (sugarcane, jute, and cotton) were also added to the mission.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Demonstration,Millets,Nutri Cereals,Pulses,Rice,Seed Distribution,Seed Hub,Seed Production,,,,,,,
National Food Security Scheme (Antyodaya Anna Yojana - Pink Ration Card) - Uttarakhand,https://www.myscheme.gov.in/schemes/nfssaayprcuk,Uttarakhand,myscheme,"The scheme aims to ensure food security for the poorest and most vulnerable families by providing them with subsidized food grains under the Antyodaya category in the state. Under the scheme, eligible beneficiaries receive 35 kg of food grains and 1 kg of sugar per ration card at subsidized rates.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Anna,Antyodaya,Food Distribution,Pink Card,Ration Card,Food Grains,Subsidized,Vulnerable Families,Poorest,Ensure Food,,,,,
National Food Security Scheme (Priority Households - White Ration Card) - Uttarakhand,https://www.myscheme.gov.in/schemes/nfssphwrc,Uttarakhand,myscheme,"The scheme aims to ensure food security for economically vulnerable and priority households in Uttarakhand by providing them with a guaranteed monthly supply of food grains at subsidized rates. Under the scheme, the eligible households are entitled to 5 kg of food grains per person per month.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Food Distribution,Priority Household,Ration Card,White Card,Food Grains,Households,Economically Vulnerable,Guaranteed,Ensure Food,Entitled,,,,,
National Geoscience Awards,https://www.myscheme.gov.in/schemes/nga,Ministry of Mines,myscheme,"The objective of the scheme is to honour individuals and teams for extraordinary achievements and outstanding contributions in the field of mineral discovery & exploration, fundamental / applied geosciences, mining and allied areas.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Awards,Geoscience,Mineral Discovery,Mining Technology,Extraordinary Achievements,Teams,Contributions Field,Fundamental,Applied,Outstanding Contributions,,,,,
National Gopal Ratna Award,https://www.myscheme.gov.in/schemes/ngra,"Ministry of Fisheries, Animal Husbandry and Dairying",myscheme,"The scheme aims to promote scientific dairy practices and AI coverage. It provides awards, recognition, and monetary incentives to farmers, dairy organizations, and AI technicians.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Not Specified,Farmer,Not Specified,Not Specified,AI Technicians,Award,Dairy Farmer,Dairy Organizations,Milk,Monetary Incentive,Agriculture,Farmer,,,,,,,
National Grassroots Innovation and Outstanding Traditional Knowledge Awards,https://www.myscheme.gov.in/schemes/ngiaotk,,india_only,"National Innovation Foundation (NIF)-India, an autonomous body of the Department of Science and Technology, Government of India, invites entries of unaided technological innovations and traditional knowledge developed at grassroots by an individual (Citizen of India) or group.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Awards,Science,Technology,National,Citizen Of India,Autonomous Body,Invites,Unaided,Entries,Developed,,,,,
National Handicrafts Development Programme: Direct Benefit to Artisans - Supports to Artisans in Indigent Circumstances,https://www.myscheme.gov.in/schemes/nhdp-dba-saic,Ministry of Textiles,myscheme,"The scheme ""Direct Benefit to Artisans - Supports to Artisans in Indigent Circumstances"" is designed to give a boost to the handicraft sector in India. Assistance of upto ₹8,000/- per month is granted to the Artisans in Indigent Circumstances in the form of monthly allowance/lump sum grant/ both.",Social Welfare,All,All / Not Specified,Not Specified,Senior Citizen,Handicraft / Handloom,Financial Assistance / Grant,Artisan / Weaver,Not Specified,Not Specified,Artisan,Financial Assistance,Handicraft,Pension,Senior Citizen,Social Welfare,Handicraft / Handloom,Financial Assistance / Grant,Artisan / Weaver,,,,,,
National Handicrafts Development Programme: Infrastructure And Technology Support: EMPORIA,https://www.myscheme.gov.in/schemes/nhdp-iandts-emporia,Ministry of Textiles,myscheme,"In the scheme ""Infrastructure and Technology Support: EMPORIA"" assistance would be provided for the setting up of emporia. These would be set up in commercially viable locations in the implementing agencies' own/rented buildings.",Business & Finance,All,All / Not Specified,Not Specified,All Ages,Handicraft / Handloom,Infrastructure / In-kind,Artisan / Weaver,Not Specified,Not Specified,Artisan,Business,Entrepreneurship,Exhibition,Weaver,Business & Finance,Handicraft / Handloom,Infrastructure / In-kind,Artisan / Weaver,,,,,,
National Handicrafts Development Programme: Infrastructure And Technology Support: URBAN HAAT,https://www.myscheme.gov.in/schemes/nhdp-iandts-uh,Ministry of Textiles,myscheme,"The scheme ""Infrastructure & Technology Support: URBAN HAAT"" is introduced is to set up a permanent marketing infrastructure in towns/ metropolitan cities to provide direct marketing facilities to handicrafts artisans/handloom weavers, enabling them to sell their products to wider target audience.",Housing & Infrastructure,All,All / Not Specified,Not Specified,All Ages,Handicraft / Handloom,Infrastructure / In-kind,Artisan / Weaver,Not Specified,Not Specified,Artisan,Entrepreneurship,Handicraft,Handloom,Infrastructure,Technology Support,Weaver,Housing & Infrastructure,Handicraft / Handloom,Infrastructure / In-kind,Artisan / Weaver,,,,
National Handicrafts Development Programme: Research & Development Scheme,https://www.myscheme.gov.in/schemes/nhdp-randds,Ministry of Textiles,myscheme,"The ""NHDP: Research & Development Scheme"" is introduced to generate feedback on economic, social, aesthetic, and promotional aspects of various crafts and artisans in the handicraft sector. The surveys and studies are sponsored/conducted to generate suitable inputs for planning purposes.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,Handicraft / Handloom,Financial Assistance / Grant,Artisan / Weaver,Not Specified,Not Specified,Grant-in-Aid,Handicraft,Research,Textile,Handicraft / Handloom,Financial Assistance / Grant,Artisan / Weaver,Generate,Feedback,Aesthetic,,,,,
National Handloom Development Programme (NHDP): Scholarship Component,https://www.myscheme.gov.in/schemes/nhdpsc,Ministry of Textiles,myscheme,"The scheme targets the children of these weavers, offering financial assistance of up to ₹2,00,000/- annually. This support covers tuition, admission, and examination fees at recognised textile institutions. Additionally, beneficiaries receive a monthly stipend of ₹5,000/-.",Education,All,All / Not Specified,Not Specified,All Ages,Education,Financial Assistance / Grant,Artisan / Weaver,Not Specified,Not Specified,Handloom,Scholarship,Textile,Weaver,Education,Financial Assistance / Grant,Artisan / Weaver,Covers Tuition,Recognised,Examination Fees,,,,,
National Handloom Development Programme: Concessional Credit/Weaver MUDRA Scheme,https://www.myscheme.gov.in/schemes/nhdpccwms,Ministry of Textiles,myscheme,The scheme aims to provide adequate and timely assistance from the banks to the handloom sector to meet their credit requirements for term loan & working capital in a flexible and cost effective manner across the country.,Business & Finance,All,All / Not Specified,Not Specified,All Ages,Handicraft / Handloom,Loan / Credit,Artisan / Weaver,Not Specified,Not Specified,Bank,Concessional Credit,Credit Guarantee,Handloom,Interest Subvention,Margin Money Assistance,Weaver,MUDRA,Business & Finance,Handicraft / Handloom,Loan / Credit,Artisan / Weaver,,,
National Livestock Mission: Entrepreneurship Development Scheme - Uttarakhand Livestock Development Board,https://www.myscheme.gov.in/schemes/nlmeds,Uttarakhand,myscheme,"The scheme aims to promote employment generation through entrepreneurship development in the small ruminants, poultry, piggery, and the fodder sectors by providing financial and institutional support to individuals and organized groups under the National Livestock Mission.",Agriculture,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Entrepreneurship,Livestock,Livestock Mission,Piggery Farming,Poultry Farming,Agriculture,Groups National,Development Small,Employment Generation,Fodder,,,,,
National Livestock Mission: Establishment of Entrepreneurship for Breed Development of Rural Poultry,https://www.myscheme.gov.in/schemes/eebdrp,"Ministry of Fisheries, Animal Husbandry and Dairying",myscheme,"The scheme aims to promote entrepreneurship in rural poultry farming. Through this scheme, a 50% capital subsidy is provided for establishing Parent Farms, Rural Hatcheries, and Brooder cum Mother Units.",Agriculture,Women,All / Not Specified,Not Specified,All Ages,General / Not Specified,Subsidy,Not Specified,Not Specified,Not Specified,Brooder Cum Mother Unit,Entrepreneurship,Parent Farm,Poultry Farming,Rural Hatchery,Rural Poultry,Agriculture,Women,Subsidy,,,,,,
